handle,title,abstract,authors,type,source,collection,date_issue,doi,citation,keywords,publication_year
2036,Human Development Theme,,,documents,knowhub,documents,,,,,
856,Pause and Reflect Session,,,other,knowhub,other,,,,,
2025,Finance Unit,,,documents,knowhub,documents,,,,,
365,APHRC Resource Mobilization Strategy 2022-2026,,,reports,knowhub,reports,,,,,
133,Sasa Mama Teens Toolkit,,,publications,knowhub,publications,,,,,
11,Policies and Guidelines,,,publications,knowhub,publications,,,,,
591,Staff List -2023,,,other,knowhub,other,,,,,
222,Risk Management Policy and Risk Framework,,,documents,knowhub,documents,,,,,
653,Business Development,,,other,knowhub,other,,,,,
104,Strategic Plan 2017-2021,,,publications,knowhub,publications,,,,,
778,Risk Registers,,,other,knowhub,other,,,,,
14,Strategic Plans and Annual Plans,,,publications,knowhub,publications,,,,,
975,Presentations,,,other,knowhub,other,,,,,
916,Subject Matter Experts Directory,,,other,knowhub,other,,,,,
19,Board Materials,,,publications,knowhub,publications,,,,,
114,Forms and Templates,,,publications,knowhub,publications,,,,,
1577,APHRC Annual Performance Review Report,,,publications,knowhub,publications,,,,,
1565,MEL Unit Materials,,,publications,knowhub,publications,,,,,
1196,Service Charter,,,publications,knowhub,publications,,,,,
131,A day in the life of a young urban farmer,,,publications,knowhub,publications,,,,,
16,Premier Training Materials,,,publications,knowhub,publications,,,,,
105,APHRC Strategic Plan 2022-2026,,,publications,knowhub,publications,,,,,
17,Lessons Learned,,,publications,knowhub,publications,,,,,
220,Data Protection and Privacy Policy,,,documents,knowhub,documents,,,,,
132,A Day in the Life of a Young Urban Farmer in 2050,,,publications,knowhub,publications,,,,,
221,By Laws of the African Population and Health Research Center,,,documents,knowhub,documents,,,,,
560,Budget,,,other,knowhub,other,,,,,
