handle,title,abstract,authors,type,source,collection,date_issue,doi,citation,keywords,publication_year
32,2023 Pause and Reflect Session,,,reports,knowhub,reports,,,,,
398,Knowledge Retention and Transfer,,,reports,knowhub,reports,,,,,
328,Meeting Recordings,,,reports,knowhub,reports,,,,,
35,APHRC Corporate Preboarding,,,reports,knowhub,reports,,,,,
138,APHRC@20 Celebrations,,,publications,knowhub,publications,,,,,
31,Videos,,,reports,knowhub,reports,,,,,
34,APHRC Corporate Onbording,,,reports,knowhub,reports,,,,,
320,Brownbag Sessions,,,reports,knowhub,reports,,,,,
563,Webinars,,,other,knowhub,other,,,,,
135,Zero Hunger Initiative: Healthy Foods Africa Baseline Documentary,,,publications,knowhub,publications,,,,,
1598,Program Test,,,publications,knowhub,publications,,,,,
920,A mixed Methods Evaluation of Impact of Short Course Training in Implementation Research in East Africa.,,,other,knowhub,other,,,,,
371,How-To Guides,,,reports,knowhub,reports,,,,,
352,Wellness Thursdays,,,reports,knowhub,reports,,,,,
646,Big Idea and Pipeline Idea,,,other,knowhub,other,,,,,
36,APHRC Corporate,,,reports,knowhub,reports,,,,,
919,Special Brown Bag featuring Scholars from the University of Ibadan,,,other,knowhub,other,,,,,
136,Co-Creation Regional Workshop on Adolescent Sexual and Reproductive Health and Rights,,,publications,knowhub,publications,,,,,
