handle,title,abstract,authors,type,source,collection,date_issue,doi,citation,keywords,publication_year
439,Senior Management Team-SMT Reports,,,multimedia,knowhub,multimedia,,,,,
158,Afya Kwa Ukoo: Engaging Cultural Institutions and Culturally-Sensitive Facility-Based Delivery on Maternal and Newborn Health Service Utilization in Garissa,,,publications,knowhub,publications,,,,,
61,Policy Engagement and Communications,,,other,knowhub,other,,,,,
1192,Organization Effectiveness,,,publications,knowhub,publications,,,,,
410,Knowledge Retention and Transfer Reports,,,multimedia,knowhub,multimedia,,,,,
157,Advancing Learning Outcomes for Transformational Change: Lessons Learnt from Six Year Implementation and Evaluation of An Education Program in Nairobi,,,publications,knowhub,publications,,,,,
2072,Survey Reports,,,documents,knowhub,documents,,,,,
59,Health and Wellbeing,,,other,knowhub,other,,,,,
125,Annual Reports,,,publications,knowhub,publications,,,,,
1195,APHRC Organizational Effectiveness Assessment Fact Sheet May 2024,,,publications,knowhub,publications,,,,,
66,Short Report,,,other,knowhub,other,,,,,
57,Population Dynamics and Urbanization in Africa,,,other,knowhub,other,,,,,
148,APHRC Annual Report and Financial Statements for the Year Ended 31st December 2018,,,publications,knowhub,publications,,,,,
2088,Promoting Holistic Health and Wellbeing of Pregnant and Parenting Adolescents and Their Children in Africa: A Life Course Model,,,documents,knowhub,documents,,,,,
567,Executive Leadership Team,,,other,knowhub,other,,,,,
63,Operations,,,other,knowhub,other,,,,,
1193,APHRC Organizational Effectiveness Assessment Report May 2024,,,publications,knowhub,publications,,,,,
224,2022 Annual Review Report,,,documents,knowhub,documents,,,,,
147,APHRC Financial Statement for the Year Ended 31st December 2017,,,publications,knowhub,publications,,,,,
932,2023 Annual Report Coloring Africa,,,other,knowhub,other,,,,,
2093,Mid Term Evaluation,,,documents,knowhub,documents,,,,,
149,APHRC Annual Report and Financial Statements for the Year Ended 31st December 2019,,,publications,knowhub,publications,,,,,
