id,doi,title,abstract,summary,domains,topics,description,expert_id,type,subtitles,publishers,collection,date_issue,citation,language,identifiers,created_at,updated_at,source,authors,publication_year,field,subfield
22,https://doi.org/10.1007/s10995-010-0670-z,Influence of Maternal Education on Child Immunization and Stunting in Kenya,,,[],,,,publications,,,,,,,,2025-03-10 17:02:20.515301+00:00,2025-03-10 17:02:20.515301+00:00,openalex,[],2010,Research,General Research
8,https://doi.org/10.1186/s12884-019-2204-z,Pregnancy and early motherhood among adolescents in five East African countries: a multi-level analysis of risk and protective factors,,,[],,,,publications,,,,,,,,2025-03-10 17:02:19.138609+00:00,2025-03-10 17:02:19.138609+00:00,openalex,[],2019,Research,General Research
26,https://doi.org/10.1016/j.gloepi.2020.100024,"The Nairobi Urban Health and Demographic Surveillance of slum dwellers, 2002–2019: Value, processes, and challenges",,,[],,,,publications,,,,,,,,2025-03-10 17:02:20.762980+00:00,2025-03-10 17:02:20.762980+00:00,openalex,[],2020,Research,General Research
25,https://doi.org/10.1177/0962280217737566,Bayesian latent time joint mixed effect models for multicohort longitudinal data,,,[],,,,publications,,,,,,,,2025-03-10 17:02:20.760859+00:00,2025-03-10 17:02:20.760859+00:00,openalex,[],2017,Research,General Research
9,https://doi.org/10.1363/42e1816,"The Estimated Incidence of Induced Abortion in Ethiopia, 2014: Changes in the Provision of Services Since 2008",,,[],,,,publications,,,,,,,,2025-03-10 17:02:19.141010+00:00,2025-03-10 17:02:19.141010+00:00,openalex,[],2016,Research,General Research
5,https://doi.org/10.1371/journal.pone.0200513,"Challenges to implementing national comprehensive sexuality education curricula in low- and middle-income countries: Case studies of Ghana, Kenya, Peru and Guatemala",,,[],,,,publications,,,,,,,,2025-03-10 17:02:18.894672+00:00,2025-03-10 17:02:18.894672+00:00,openalex,[],2018,Research,General Research
10,https://doi.org/10.1684/mst.2017.0678,Emergence and spread of antibiotic resistance in West Africa : contributing factors and threat assessment,,,[],,,,publications,,,,,,,,2025-03-10 17:02:19.413154+00:00,2025-03-10 17:02:19.413154+00:00,openalex,[],2017,Research,General Research
29,https://doi.org/10.1016/s0140-6736(21)01326-x,From routine data collection to policy design: sex and gender both matter in COVID-19,,,[],,,,publications,,,,,,,,2025-03-10 17:02:21.261242+00:00,2025-03-10 17:02:21.261242+00:00,openalex,[],2021,Research,General Research
7,https://doi.org/10.1136/bmjgh-2019-002231,Adolescent sexual and reproductive health in sub-Saharan Africa: who is left behind?,,,[],,,,publications,,,,,,,,2025-03-10 17:02:19.135612+00:00,2025-03-10 17:02:19.135612+00:00,openalex,[],2020,Research,General Research
1533101630,,Co-Creation and Validation Workshop for Examining Participation and Quality of Experiences of Women in Science Technology Engineering and Mathematics (STEM): Postgraduate Training Programs and Careers in East Africa,,,,,,,documents,,,documents,,,en,{'handle': '123456789'},2025-03-10 19:53:33.988971+00:00,2025-03-10 19:53:33.988971+00:00,knowhub,,,Education,Learning
30,https://doi.org/10.1186/s12939-024-02235-y,“Our program manager is a woman for the first time”: perceptions of health managers on what workplace policies and practices exist to advance women’s career progression in the health sector in Kenya,,,[],,,,publications,,,,,,,,2025-03-10 17:02:21.263871+00:00,2025-03-10 17:02:21.263871+00:00,openalex,[],2024,Development,Economic Development
17,https://doi.org/10.5860/choice.45-4702,"Dude, you're a fag: masculinity and sexuality in high school",,,[],,,,publications,,,,,,,,2025-03-10 17:02:19.944488+00:00,2025-03-10 17:02:19.944488+00:00,openalex,[],2008,Research,General Research
23,https://doi.org/10.1016/j.healthplace.2014.06.003,Trends in childhood mortality in Kenya: The urban advantage has seemingly been wiped out,,,[],,,,publications,,,,,,,,2025-03-10 17:02:20.517678+00:00,2025-03-10 17:02:20.517678+00:00,openalex,[],2014,Research,General Research
6,https://doi.org/10.1371/journal.pone.0317762,"Association between maternal mental health and early childhood development, nutrition, and common childhood illnesses in Khwisero subcounty, Kenya",,,[],,,,publications,,,,,,,,2025-03-10 17:02:18.896748+00:00,2025-03-10 17:02:18.896748+00:00,openalex,[],2025,Research,General Research
133812757,,Policy Brief,,,,,,,other,,,other,,,en,{'handle': '123456789'},2025-03-10 19:53:33.988971+00:00,2025-03-10 19:53:33.988971+00:00,knowhub,,,Research,General Research
16,https://doi.org/10.1080/09589236.2013.794070,Dude you're a fag: masculinity and sexuality in high school,,,[],,,,publications,,,,,,,,2025-03-10 17:02:19.942068+00:00,2025-03-10 17:02:19.942068+00:00,openalex,[],2013,Research,General Research
21,https://doi.org/10.1186/1471-2431-12-80,Effect of mother’s education on child’s nutritional status in the slums of Nairobi,,,[],,,,publications,,,,,,,,2025-03-10 17:02:20.512071+00:00,2025-03-10 17:02:20.512071+00:00,openalex,[],2012,Research,General Research
18,https://doi.org/10.1080/14681366.2018.1436583,The construction of gender in Ugandan English textbooks: a focus on gendered discourses,,,[],,,,publications,,,,,,,,2025-03-10 17:02:19.946799+00:00,2025-03-10 17:02:19.946799+00:00,openalex,[],2018,Research,General Research
19,https://doi.org/10.4324/9781003353188-14,Inclusive education and school preparedness during COVID-19,,,[],,,,publications,,,,,,,,2025-03-10 17:02:20.232631+00:00,2025-03-10 17:02:20.232631+00:00,openalex,[],2025,Research,General Research
12,https://doi.org/10.1186/s12978-021-01078-y,"""I was tricked"": understanding reasons for unintended pregnancy among sexually active adolescent girls",,,[],,,,publications,,,,,,,,2025-03-10 17:02:19.420089+00:00,2025-03-10 17:02:19.420089+00:00,openalex,[],2021,Research,General Research
11,https://doi.org/10.1016/j.jad.2019.08.024,"Neighborhood, social isolation and mental health outcome among older people in Ghana",,,[],,,,publications,,,,,,,,2025-03-10 17:02:19.416718+00:00,2025-03-10 17:02:19.416718+00:00,openalex,[],2019,Research,General Research
4,https://doi.org/10.1016/j.worlddev.2020.105280,The short-term economic effects of COVID-19 on low-income households in rural Kenya: An analysis using weekly financial household data,,,[],,,,publications,,,,,,,,2025-03-10 17:02:18.892232+00:00,2025-03-10 17:02:18.892232+00:00,openalex,[],2020,Research,General Research
3,https://doi.org/10.1101/2025.01.15.25320322,Perinatal depression in Rural Kenya and the associated risk and protective factors: A prospective cohort study before and during the COVID-19 pandemic,,,[],,,,publications,,,,,,,,2025-03-10 17:02:18.661119+00:00,2025-03-10 17:02:18.661119+00:00,openalex,[],2025,Research,General Research
2,https://doi.org/10.3389/fsoc.2025.1499312,“Your behavior is not welcome here…”: forced internal displacement of sexual and gender minorities in Kenya,,,[],,,,publications,,,,,,,,2025-03-10 17:02:18.658420+00:00,2025-03-10 17:02:18.658420+00:00,openalex,[],2025,Research,General Research
27,https://doi.org/10.12688/aasopenres.13211.1,Factors associated with research productivity in higher education institutions in Africa: a systematic review,,,[],,,,publications,,,,,,,,2025-03-10 17:02:21.006695+00:00,2025-03-10 17:02:21.006695+00:00,openalex,[],2021,Research,General Research
1,https://doi.org/10.1016/j.amepre.2010.02.018,Mobile Direct Observation Treatment for Tuberculosis Patients,,,[],,,,publications,,,,,,,,2025-03-10 17:02:18.655837+00:00,2025-03-10 17:02:18.655837+00:00,openalex,[],2010,Research,General Research
56,https://doi.org/10.3402/gha.v5i0.19065,Time-series analysis of weather and mortality patterns in Nairobi's informal settlements,,,[],,,,publications,,,,,,,,2025-03-10 17:02:23.675370+00:00,2025-03-10 17:02:23.675370+00:00,openalex,[],2012,Research,General Research
39,https://doi.org/10.1038/s41586-024-08485-8,Expanding the human gut microbiome atlas of Africa,,,[],,,,publications,,,,,,,,2025-03-10 17:02:22.013730+00:00,2025-03-10 17:02:22.013730+00:00,openalex,[],2025,Research,General Research
36,https://doi.org/10.1371/journal.pone.0189264,Knowledge and awareness of and perception towards cardiovascular disease risk in sub-Saharan Africa: A systematic review,,,[],,,,publications,,,,,,,,2025-03-10 17:02:21.769590+00:00,2025-03-10 17:02:21.769590+00:00,openalex,[],2017,Research,General Research
33,https://doi.org/10.1186/s13690-016-0166-4,A review and framework for understanding the potential impact of poor solid waste management on health in developing countries,,,[],,,,publications,,,,,,,,2025-03-10 17:02:21.538978+00:00,2025-03-10 17:02:21.538978+00:00,openalex,[],2016,Research,General Research
34,https://doi.org/10.9745/ghsp-d-21-00172,The Conundrum of Low COVID-19 Mortality Burden in sub-Saharan Africa: Myth or Reality?,,,[],,,,publications,,,,,,,,2025-03-10 17:02:21.541688+00:00,2025-03-10 17:02:21.541688+00:00,openalex,[],2021,Research,General Research
55,https://doi.org/10.3390/ijerph10104851,Community Perceptions of Air Pollution and Related Health Risks in Nairobi Slums,,,[],,,,publications,,,,,,,,2025-03-10 17:02:23.672978+00:00,2025-03-10 17:02:23.672978+00:00,openalex,[],2013,Research,General Research
57,https://doi.org/10.1186/s40249-017-0323-1,"Prevalence of diarrhoea and risk factors among children under five years old in Mbour, Senegal: a cross-sectional study",,,[],,,,publications,,,,,,,,2025-03-10 17:02:23.919707+00:00,2025-03-10 17:02:23.919707+00:00,openalex,[],2017,Research,General Research
42,https://doi.org/10.18261/ntfe.22.5.31,The promotion of ultra-processed foods in modern retail food outlets in rural and urban areas in Kenya,,,[],,,,publications,,,,,,,,2025-03-10 17:02:22.239479+00:00,2025-03-10 17:02:22.239479+00:00,openalex,[],2024,Research,General Research
37,https://doi.org/10.1111/mcn.12161,Factors affecting actualisation of the <scp>WHO</scp> breastfeeding recommendations in urban poor settings in <scp>K</scp> enya,,,[],,,,publications,,,,,,,,2025-03-10 17:02:21.772119+00:00,2025-03-10 17:02:21.772119+00:00,openalex,[],2014,Research,General Research
50,https://doi.org/10.1016/j.aquaculture.2020.734940,Employment generation in the Egyptian aquaculture value chain: implications for meeting the Sustainable Development Goals (SDGs),,,[],,,,publications,,,,,,,,2025-03-10 17:02:22.972640+00:00,2025-03-10 17:02:22.972640+00:00,openalex,[],2020,Research,General Research
452556603,,Executive Director Bulletin,,,,,,,other,,,other,,,en,{'handle': '123456789'},2025-03-10 19:53:33.988971+00:00,2025-03-10 19:53:33.988971+00:00,knowhub,,,Research,General Research
45,https://doi.org/10.1186/s12978-015-0018-7,"Availability, utilisation and quality of maternal and neonatal health care services in Karamoja region, Uganda: a health facility-based survey",,,[],,,,publications,,,,,,,,2025-03-10 17:02:22.466997+00:00,2025-03-10 17:02:22.466997+00:00,openalex,[],2015,Research,General Research
48,https://doi.org/10.1016/j.gfs.2022.100615,Understanding drivers of food choice in low- and middle-income countries: A systematic mapping study,,,[],,,,publications,,,,,,,,2025-03-10 17:02:22.967724+00:00,2025-03-10 17:02:22.967724+00:00,openalex,[],2022,Research,General Research
54,https://doi.org/10.1007/s11524-011-9594-1,Monitoring of Health and Demographic Outcomes in Poor Urban Settlements: Evidence from the Nairobi Urban Health and Demographic Surveillance System,,,[],,,,publications,,,,,,,,2025-03-10 17:02:23.669968+00:00,2025-03-10 17:02:23.669968+00:00,openalex,[],2011,Research,General Research
43,https://doi.org/10.1186/s12978-015-0067-y,"Determinants of utilisation of antenatal care and skilled birth attendant at delivery in South West Shoa Zone, Ethiopia: a cross sectional study",,,[],,,,publications,,,,,,,,2025-03-10 17:02:22.461707+00:00,2025-03-10 17:02:22.461707+00:00,openalex,[],2015,Research,General Research
47,https://doi.org/10.1016/j.healthplace.2021.102647,Urban physical food environments drive dietary behaviours in Ghana and Kenya: A photovoice study,,,[],,,,publications,,,,,,,,2025-03-10 17:02:22.740595+00:00,2025-03-10 17:02:22.740595+00:00,openalex,[],2021,Research,General Research
